id,status,table,field,description,percent_records_failed,num_records_failed,threshold,resolved,fix_description,validation_query,validation_result
1,FAIL,OBSERVATION_PERIOD,NA,"The number and percent of persons in the CDM that do not have at least one record in the OBSERVATION_PERIOD table",100.00,10330950,0%,YES,"1) Case mismatch fix: changed 'patient' to 'PATIENT' in person_source_value. 2) Simplified query to use only pat_enc (removed order_med/order_proc/order_results UNION causing 0 records). File: epic_clarity_observation_period.ipynb","SELECT * FROM _exponent.omop.observation_period LIMIT 10","PASSED - Records populated with observation_period_id, person_id, start/end dates, period_type_concept_id=32817"
2,FAIL,DRUG_EXPOSURE,NA,"The number and percent of persons in the CDM that do not have at least one record in the DRUG_EXPOSURE table",100.00,10330950,95%,YES,"No code fix needed - notebook epic_clarity_drug_exposure.ipynb just needed to be run. 3.8M source records in order_med hydrated successfully.","SELECT * FROM _exponent.omop_epic.drug_exposure LIMIT 10","PASSED - Records populated with drug_exposure_id, person_id, start/end dates, sig, drug_source_value"
3,FAIL,PROCEDURE_OCCURRENCE,NA,"The number and percent of persons in the CDM that do not have at least one record in the PROCEDURE_OCCURRENCE table",100.00,10330950,95%,YES,"Schema mismatch fix: Silver table had person_id (not person_source_value). Updated temp view to select person_id from join; fixed MERGE statements in cells 2, 6, 11. 74.6M rows inserted to silver. File: epic_clarity_procedure_occurrence.ipynb","SELECT * FROM _exponent.omop_epic.procedure_occurrence LIMIT 10","PASSED - Records populated with procedure_occurrence_id, person_id, procedure_concept_id, procedure_source_value"
4,FAIL,MEASUREMENT,NA,"The number and percent of persons in the CDM that do not have at least one record in the MEASUREMENT table",100.00,10330950,95%,YES,"Complete notebook rewrite: Added person_id join via pat_enc->source_to_person; fixed silver schema to include all columns; added person_id to mapping table INSERT; changed gold target to omop_epic.measurement. 564M rows to silver. File: epic_clarity_measurement.ipynb","SELECT * FROM _exponent.omop_epic.measurement LIMIT 10","PASSED - Records populated with measurement_id, person_id, measurement_date, value_as_number, unit_source_value"
5,FAIL,OBSERVATION,NA,"The number and percent of persons in the CDM that do not have at least one record in the OBSERVATION table",100.00,10330950,95%,DATA_LIMITATION,"Source data limitation: Only 43 occupation records in patient_3 table. Smoking status (pat_enc_2) unpopulated. Awaiting client to expose additional observation source views.","N/A","PENDING - Insufficient source data"
6,FAIL,DRUG_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the DRUG_ERA table",100.00,10330950,95%,BLOCKED,"Blocked by upstream concept mapping: drug_exposure has 100% drug_concept_id=0. ERA derivation requires mapped concepts. Created Epic-specific notebook. File: epic_clarity_drug_era.ipynb","SELECT SUM(CASE WHEN drug_concept_id!=0 THEN 1 ELSE 0 END) FROM omop_epic.drug_exposure","BLOCKED - 0 mapped drug concepts"
7,FAIL,CONDITION_ERA,NA,"The number and percent of persons in the CDM that do not have at least one record in the CONDITION_ERA table",100.00,10330950,95%,BLOCKED,"Blocked by upstream concept mapping: condition_occurrence has 100% condition_concept_id=0. ERA derivation requires mapped concepts. Created Epic-specific notebook. File: epic_clarity_condition_era.ipynb","SELECT SUM(CASE WHEN condition_concept_id!=0 THEN 1 ELSE 0 END) FROM omop_epic.condition_occurrence","BLOCKED - 0 mapped condition concepts"
8,FAIL,DRUG_STRENGTH,INGREDIENT_CONCEPT_ID,"The number and percent of records that have a value in the DRUG_STRENGTH table that do not conform to the INGREDIENT class",0.12,3642,0%,NO,,
9,FAIL,CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID,"The number and percent of records that have a value in the CONDITION_TYPE_CONCEPT_ID field in the CONDITION_OCCURRENCE table that do not conform to the TYPE CONCEPT domain",68.18,25121934,0%,YES,"Replaced invalid type concepts (32000=Cost domain, 32020=non-standard) with 32817 (EHR). Updated notebook cell-2 for future runs. File: epic_clarity_condition_occurrence.ipynb","SELECT condition_type_concept_id, COUNT(*) FROM omop_epic.condition_occurrence GROUP BY 1","PASSED - Only 32817 (EHR)"
10,FAIL,DEATH,PERSON_ID,"The number and percent of records that have a value in the PERSON_ID field in the DEATH table that does not exist in the PERSON table",50.07,26468,0%,YES,"Added INNER JOIN to omop_epic.person in gold query to ensure referential integrity. Added cleanup DELETE to remove existing orphaned records. Root cause: death records created for patients without birth_date who never made it to PERSON table. File: epic_clarity_death.ipynb","SELECT COUNT(*) FROM omop_epic.death d WHERE NOT EXISTS (SELECT 1 FROM omop_epic.person p WHERE p.person_id=d.person_id)","PASSED - 0 orphaned records"
11,FAIL,CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard, valid concept in the CONDITION_TYPE_CONCEPT_ID field in the CONDITION_OCCURRENCE table",31.82,11724370,0%,YES,"Replaced invalid type concepts (32000=Cost domain, 32020=non-standard) with 32817 (EHR). Updated notebook cell-2 for future runs. File: epic_clarity_condition_occurrence.ipynb","SELECT condition_type_concept_id, COUNT(*) FROM omop_epic.condition_occurrence GROUP BY 1","PASSED - Only 32817 (EHR)"
12,FAIL,NOTE,NOTE_CLASS_CONCEPT_ID,"The number and percent of records that do not have a standard, valid concept in the NOTE_CLASS_CONCEPT_ID field in the NOTE table",100.00,186916894,0%,NO,,
13,FAIL,NOTE,NOTE_TYPE_CONCEPT_ID,"The number and percent of records that do not have a standard, valid concept in the NOTE_TYPE_CONCEPT_ID field in the NOTE table",100.00,186916894,0%,NO,,
14,FAIL,NOTE,NOTE_DATE,"The number and percent of records with a date value in the NOTE_DATE field of the NOTE table that occurs prior to birth",99.91,186745658,1%,NO,,
15,FAIL,NOTE,NOTE_DATETIME,"The number and percent of records with a date value in the NOTE_DATETIME field of the NOTE table that occurs prior to birth",99.91,186745658,1%,NO,,
16,FAIL,VISIT_OCCURRENCE,VISIT_END_DATE,"The number and percent of records with a date value in the VISIT_END_DATE field of the VISIT_OCCURRENCE table that occurs after death",2.05,24549,1%,NO,,
17,FAIL,VISIT_OCCURRENCE,VISIT_END_DATETIME,"The number and percent of records with a date value in the VISIT_END_DATETIME field of the VISIT_OCCURRENCE table that occurs after death",2.05,24549,1%,NO,,
18,FAIL,VISIT_OCCURRENCE,VISIT_START_DATE,"The number and percent of records with a date value in the VISIT_START_DATE field of the VISIT_OCCURRENCE table that occurs after death",2.15,25756,1%,NO,,
19,FAIL,VISIT_OCCURRENCE,VISIT_START_DATETIME,"The number and percent of records with a date value in the VISIT_START_DATETIME field of the VISIT_OCCURRENCE table that occurs after death",2.15,25756,1%,NO,,
20,FAIL,VISIT_OCCURRENCE,VISIT_END_DATE,"If yes, the number and percent of records with a date value in the VISIT_END_DATE field of the VISIT_OCCURRENCE table that occurs after death",2.05,24549,1%,NO,,
